ID,X,Y,Z,Radio (mm),Altura (mm),Aletas_Detectadas,Es_HeatStake_Potencial,Distancia_Origen
459,1587.74289024481,-775.071275163364,1472.03495473719,0.5,2.2177,3,True,2299.6847338438433
168,1897.38485941815,-734.299999999991,1071.79858559435,0.5,0.8167,2,False,2299.5690906844416
21,1786.76826209374,-715.621581857758,1258.20611181156,0.5,10.0778,3,True,2299.5081410262605
14,1786.76826209374,-715.621581857758,1258.20611181156,3.0,10.3426,6,True,2299.5081410262605
169,1899.2004702778,-734.299999999997,1065.37281032937,0.5,0.8167,4,True,2298.0814044094504
166,1891.84937625169,-747.800000000003,1067.05643561516,2.0,20.9546,1,False,2297.152223778747
165,1891.84937625169,-747.800000000003,1067.05643561516,3.0,21.1099,9,True,2297.152223778747
429,1574.54852707838,-753.228413003614,1492.28908897482,2.0,4.0338,2,False,2296.4065039434845
37,1843.97752817862,-724.23402600295,1161.05889456283,0.5,10.0778,3,True,2296.2634442701988
32,1843.97752817862,-724.23402600295,1161.05889456283,3.0,10.3406,7,True,2296.2634442701988
39,1838.90372555852,-724.234025832308,1168.95285485398,0.5,10.0778,3,True,2296.1996021508116
34,1838.90372555852,-724.234025832308,1168.95285485398,3.0,10.3406,7,True,2296.1996021508116
31,1838.0737435609,-718.549476526609,1168.99024583978,2.0,0.2987,1,False,2293.7669087885097
22,1779.77107131632,-726.999998603337,1250.59361114054,1.0,1.0165,4,True,2293.490450054072
12,1784.66651264044,-718.364213511302,1246.39065014408,5.0,8.005,2,False,2292.2851823803435
13,1784.66651264044,-718.364213511302,1246.39065014408,4.0,3.1188,2,False,2292.2851823803435
18,1784.66651264044,-718.364213511302,1246.39065014408,2.5,2.4944,2,False,2292.2851823803435
10,1781.55655272857,-718.364213266747,1249.52999006614,5.0,8.2432,2,False,2291.5750237657826
17,1781.55655272857,-718.364213266747,1249.52999006614,2.5,2.658,2,False,2291.5750237657826
11,1781.55655272857,-718.364213266747,1249.52999006614,4.0,3.1107,2,False,2291.5750237657826
463,1577.93973663426,-753.867096730162,1480.6434536624,0.5,8.4748,3,True,2291.4001066717005
467,1584.27755668743,-756.262699712477,1472.51744812757,0.5,8.2048,3,True,2291.326315180801
40,1831.17026894523,-735.700000000004,1163.42317381196,1.0,1.0165,4,True,2290.8497386846752
170,1892.51976643398,-734.299999999997,1059.54486091427,0.5,0.8167,4,True,2289.8608841222567
36,1835.08488856666,-727.064214555229,1158.29423992218,2.5,2.7911,2,False,2288.625016591714
28,1835.08488856666,-727.064214555229,1158.29423992218,4.0,1.885,2,False,2288.625016591714
27,1835.08488856666,-727.064214555229,1158.29423992218,5.0,7.0213,3,True,2288.625016591714
16,1781.43530297149,-714.342670014981,1246.29977931518,3.0,5.1346,2,False,2288.462437707537
20,1781.43530297149,-714.342670014981,1246.29977931518,0.5,5.1346,2,False,2288.462437707537
442,1543.86684581289,-763.099271431388,1506.92790874205,2.5,8.3285,2,False,2288.37869632739
167,1886.2879738541,-734.300000000003,1062.29208109165,0.5,0.8167,4,True,2285.988468006048
30,1831.66859324219,-718.484971739341,1162.22120768796,5.0,8.2311,3,True,2285.1670892266857
35,1831.66859324219,-718.484971739341,1162.22120768796,2.5,3.255,2,False,2285.1670892266857
29,1831.66859324219,-718.484971739341,1162.22120768796,4.0,2.3704,2,False,2285.1670892266857
33,1831.90539702105,-723.042671411649,1158.87715663601,3.0,5.1346,2,False,2285.0961363780098
38,1831.90539702105,-723.042671411649,1158.87715663601,0.5,5.1346,2,False,2285.0961363780098
110,1787.01599976714,-719.545979103488,1220.0898067988,0.5,0.8087,4,True,2280.305184864974
109,1781.9514979619,-719.545979103488,1227.29586397156,0.5,0.8087,4,True,2280.208914738813
104,1779.52460545928,-732.545979103488,1220.20749102471,3.0,23.8803,12,True,2278.648229562543
105,1779.52460545928,-732.545979103488,1220.20749102471,2.0,23.6433,2,False,2278.648229562543
409,1497.66080976767,-748.828879913523,1544.94027916609,0.5,0.808,4,True,2278.2829189317754
406,1490.49953619899,-748.828879913523,1550.14324896842,0.5,0.808,4,True,2277.1204735639953
323,1490.49953619899,-761.828879913523,1542.61344033352,3.0,24.9861,10,True,2276.319032116833
324,1490.49953619899,-761.828879913523,1542.61344033352,2.0,24.9251,2,False,2276.319032116833
411,1505.48703162687,-741.80560515924,1533.80346096414,0.5,0.808,4,True,2273.6138227737633
107,1781.72764926206,-719.545979103488,1213.04638522631,0.5,0.8087,4,True,2272.3955124272534
108,1773.53311320508,-719.545979103488,1224.70603065671,0.5,0.8087,4,True,2272.2391998215803
326,1502.06857004177,-754.80560515924,1527.09435234455,2.0,16.9075,2,False,2271.113967120487
325,1502.06857004177,-754.80560515924,1527.09435234455,3.0,16.9722,10,True,2271.113967120487
412,1509.50567423737,-741.80560515924,1525.91643075889,0.5,0.808,4,True,2270.9698126704448
407,1483.33826263031,-748.828879913523,1544.94027916609,0.5,0.808,4,True,2268.893465759343
106,1773.39476710025,-719.545979103488,1215.89936847018,0.5,0.8087,4,True,2267.3964563500426
410,1496.74419129499,-741.80560515924,1532.41873109133,0.5,0.808,4,True,2266.8978577387475
408,1486.07362573081,-748.828879913523,1536.52169718349,0.5,0.808,4,True,2264.9632311366313
413,1503.24649162743,-741.80560515924,1519.65724814895,0.5,0.808,4,True,2262.605516277082
404,1456.57460918386,-741.780956490104,1539.75044042412,0.5,0.808,4,True,2245.5912358033374
369,1535.65422496842,-747.903443379602,1456.36996229781,0.5,0.808,4,True,2244.6841484640436
341,1452.36399363073,-754.780956490104,1533.50794615164,3.0,19.0458,12,True,2242.9226654491104
342,1452.36399363073,-754.780956490104,1533.50794615164,2.0,18.9863,2,False,2242.9226654491104
286,1532.46362571817,-760.903443379602,1450.1080586904,3.0,16.1732,10,True,2242.817914181857
303,1532.46362571817,-760.903443379602,1450.1080586904,2.0,16.0785,2,False,2242.817914181857
405,1459.60211024921,-741.780956490104,1531.43244960971,0.5,0.808,4,True,2241.8658870175345
403,1447.72818053765,-741.780956490104,1539.44151632854,0.5,0.808,4,True,2239.6508777776376
401,1452.6092637588,-741.780956490104,1526.48432864152,0.5,0.808,4,True,2233.9353316865304
368,1533.79857932311,-747.903443379602,1441.6794933452,0.5,0.808,4,True,2233.906310498435
402,1445.28828802059,-741.780956490104,1530.93259992311,0.5,0.808,4,True,2232.2302409044178
311,1518.62996018873,-753.985043863959,1442.33196253145,1.0,6.3364,4,True,2225.994585009852
502,1514.07551589913,-763.044494697276,1441.2342146234,0.25,1.814,2,False,2225.2679906326266
499,1514.07551589913,-763.044494697276,1441.2342146234,0.25,1.814,2,False,2225.2679906326266
500,1514.26037800148,-763.044494697276,1440.90071456262,0.25,1.814,2,False,2225.1778046933855
505,1514.26037800148,-763.044494697276,1440.90071456262,0.25,1.814,2,False,2225.1778046933855
501,1513.74201583836,-763.044494697276,1441.04935252105,0.25,1.814,2,False,2224.921353172633
504,1513.74201583836,-763.044494697276,1441.04935252105,0.25,1.814,2,False,2224.921353172633
306,1518.14656394129,-751.977207954581,1442.20592115114,0.5,6.342,2,False,2224.903734972217
503,1513.92687794071,-763.044494697276,1440.71585246028,0.25,1.814,2,False,2224.831153182074
498,1513.92687794071,-763.044494697276,1440.71585246028,0.25,1.814,2,False,2224.831153182074
310,1519.34808331542,-753.730583986298,1438.70465541901,1.0,2.7815,4,True,2224.0502415716464
307,1518.87876019655,-754.867672120103,1437.25155012002,1.5,2.0111,2,False,2223.1756360914524
289,1518.87475616683,-751.708858401989,1438.37577432195,0.5,9.3272,2,False,2222.8296382937533
290,1518.87475616683,-751.708858401989,1438.37577432195,1.5,6.7123,2,False,2222.8296382937533
288,1514.28552243049,-757.120436467733,1439.80118533154,6.0,8.7925,2,False,2222.4579753151193
287,1514.28556148492,-757.115927904231,1439.80119625061,5.0,6.7606,2,False,2222.4564730794327
103,1694.32465555464,-715.323930765348,1242.30461383718,3.0,10.3575,8,True,2219.401973033971
94,1694.32465555464,-715.323930765348,1242.30461383718,0.5,10.0947,3,True,2219.401973033971
99,1694.32465555464,-715.323930765348,1242.30461383718,3.0,0.2376,2,False,2219.401973033971
305,1510.96392309979,-753.673919455801,1436.47627484148,1.0,2.0735,2,False,2216.8672585338604
